Comment,Emotion
Prasideda tryda!,Low
"Užkniso tie farisiejai, kiek jie gali pliurpti, tegul pasižiūri, kas dedasi Lietuvoje, už ką yra persekiojami ir kišami į kalėjimus su teisėjų pagalba nekalti žmonės? Nausėda, ar tu tiek esi aklas, ar tiek kvailas, kad to nematai ir nesupranti?",Critical
O pas mus tokia pati diktatura,Medium
Gerai nemyšk ant fazės gali pakratyti ir nereikia loti žurėk savo darža.,Low
Klaunas,Low
Tu nausėda mažiau rūpinkis svetimu kiemu savo neapš...ki,Low
"Bet jis dar kiršina tautas,atminėja pilietybes nekaltiems žmonėms.",Low
"Nuo kada tu čia balsą rodai idijote ,aik pasipudruosi snukį",Medium
Sou berniukas!,Low
"vienas silpniausiu prezidentu per visa Lietuvos istorija,",Low
Parsidaveliai ir vagys,Medium
Taip šoka kaip jam įsako komservai,Low
Uzsidirbo Nausedu šeima kad bus išlaikomi iki senatves mokesciu moketoju..bet jy prisimins ir kaip silpniausia be charakterio prezidenta...na nieko apsoliuciai nieko nesugebejo padaryt kaip prezidentas..be fb postu nuotraukyciu susitikimu ir pozavimu pries kameras...jai ka padare konkreciai duokit zinot,Medium
Trys įšdavikai😂,Medium
Tik jei kas pirmas su visu sukslinu jei kas i lekruva ir kuo toliau saunus prizidentas aukstas grazus,Medium
"Drasiai duhelis šneka, prasidėtų neramumai pistu i krūmus iš karto, vadovautų nuotoliniu,per tokius nekalti žmonės turėtų žūti",Medium
Pasake sededamas lektuve i USA😂,Low
Prasidetu karas pats pirmas dingtu iš šalies! 🤮🤮🤮🤢🤢🤢,Medium
Politrukas rėžė iš peties prakalbą,Low
"Nu drsuolis !!!Pasiimkit Gabriuką ,Šimonkę ,Armonaitę ,senelį Lanzbergį nuvikit pas Putiną ir jam paaiškinkit ,!!!",Medium
"Iš kur berniukui tiek drąsos 😲
",Low
Pas jį tėvai vatingalviai🤣🤣🤣,Low
"Drasuolis atsirado,😄",Low
sustru musmeriu matomai uzvalges,Low
"Čia dirbtinis intelektas taip pasakė,nekaltinkite jo!!!",Low
Bebaimis.Tik koncervatorių bijo.,Low
"Jis mano,kad Putinas ji isgirdo?🤣Negi blusines salies valdziazmogiai mano,kad tokia salis,kaip Rusija klausosi ka jie cia tvartelyje kalba?🤣
Ponas Prezidente nuvaziuok i Kremliu pasakyt Putinui,kad jo nebijai,tik nepamirsk pampersu i kelione isidet😉",Medium
Blusa gąsdina dramblį,Low
Pats pirmas shaus i krumus,Low
"Temos slydes kaip Smetona tepé,su savo šita ponia kurios išlaikymas Lietuvai kainuoja🖕",Low
"Po švenčių gal apsirūkė,bekiaušis stiprus nori būti....",Low
Nieko gero jis nepadarė nagi dar yra tokių naivių kurie jį rinks. Tuomet tikrai sukels karą kurio siekia.,Low
Galų gale. Sveikinimai narcizui!!,Low
"Gana gal jau sito s.....
",Low
Prezidentas yra viriauses vadas bėga prezitentas bėga karei,Critical
Užsilikęs komunistėlis Lietuvoje!,High
Mes tai nepasiduosim. O ar pavyks prezidentui nepasiduotų 8-9 metų berniukams? 😉😁,Medium
"Taišku, juk jis su gėlėm agresorių sutiks🤦‍♀️",Medium
"Demokratijos invalidas pirk laiva kelta is globalisto galėsi buti Laivo kapinonu Nauseda 😂😂😂😂😁😎🐻🇱🇹
Londonas Klaipeda tesiogiai
Lanzbergiukas klaipeda Doveris tesiogiai ir t.t.😂😂😂😂😂😂😁😁😁😎🐻🇱🇹",Low
Idijotas blet,Low
Ot kur lopas🤦,Low
Ka jus darot suskiai?,Low
"Kaip naudinga pakištukui Prezidentui kritikuoti Vyriausybę, ypač prieš rinkimus.",Medium
Sėdmaišis ppulistas bando kelt savo reitingus,Low
karaliukas sparnus auginasi,Low
"Žmonių išrinktas eiti prezidento pareigas subjektas po pirmos kadencijos jau tapo diktatoriumi, kuriam niekas negali nurodinėti. Tai kas bus į antros kadencijos pabaigą.",Medium
"mano nuomone, mire drakonas, gime naujas drakonas, zmogus padyrbes del savo interesu daug ko ismoko, o antra kadencija bus visai patyres savo interesams!!!!!",Medium
MELAGIS,Low
Neatlaike pries zmonos nora parodyt savo nauja suknele Londono elitui.,Low
Nieko neveikiantis prezidentas! Ekspertai tik patvirtino kad šitas aukštas ir gražus dirbo ne Lietuvai bet dėl savo reitingo,Low
"Čia reikėtų pastebėti, kad Operos Fantomas, davė savo naudą, švelniai tariant.",Low
"Ir šis prezidentas siekia antros kadencijo.?Negi Lietuvai reikalingas prezidentas,,narcizas” iš to aukšto ir gražaus liko tik aukštas ir dar pasipūtęs",Low
NEREIKS JIEMS TRIESTI JIE PIRMIEJI ISNES SUBINES IS LIETUVOS.JIE JUK JAU SUSIPIRKO VILAS UZSIENIUOSE. LIKS TIK INVALIDAI IR UBAGAI.,High
Is vis geriau tyletu sitas plastelinas....,Low
"Prezidente , pritari Amerikos karo korupcijai , gauni pelno -! -kodėl nerodė tiesioginės JAV žurnalisto ir Putino kalbos LT televizija -žiūrėk varguomene tautos , reikia ,bijoti vietiniu vyriausybės vagiu-!
Kiek neliagaliu milijonieriu yra seime -?
Musu pinigus vagiate-?
Mums rūpi šendiena ir ka valgysiu rytoi. Kokios kaknos tam kad išgyventume. Elektra , buto šiluma, kuras, gydymas- mediku operacijos 5000- €,
Baudžiava -!",High
"Sėdmaišis pagaliau susiprato ,o kur anksčiau buvo",Low
Jum su galva viskas gerai.balsuoti už še arklisnuke kuri nustekento lietuva,High
pati šlykščiausia kandidatė,Low
savo intelektą parodo agituojantys už chamus kaip šitą mergelę pagal iškvietimą,Medium
"Tai jau tikrai,debyle kursto žmones",Low
Dink is sejmo oska,Medium
Ji pati nori kara sukelti ir teps slides kai pele i urva,High
"Marazmatikė ,panikiorė, prišauks ji nelaime !",High
"Didžiausi sumaišties kėlėjai,tai šitos besmegenės bobos,kitaip nepavadinčiau ir valdovo pakalikai",High
"Mergaite ,celkute ka buri",Low
Pisk Nahuj vakilga bliat 🤣 🤣 🤣 👎👎👎👎👎💁‍♂️💁‍♂️,Low
Šimonyte transvestitas,Low
Tu čia padla didžiausia sumaišti keli,Low
Didesnės sumaišties jau niekas nesukels kaip šie dalbajobai valdžiažmogiai,Medium
P.d.r.a.i,Low
Išgręžti galvoj skylė pripylti betono ir užkimšti kamciu,Medium
"Bl.. Lietuvos ŽMONĖS KIEK JŪS GALITE KALBĖTI FACEBOOK AR INSTAGRAME AR DAR KOKIOSE SVETAINĖSE GAL GALIMA PAGALIAU NUEITI VISIEMS PRIE VYRIAUSYBES AR SEIMO GALU GALE VISI!!!!
KALBU APIE MOKYTOJUS, VAIRUOTOJUS, MIŠKININKUS, ŪKININKAI, UGNEGESIUS (kuriems vis striuka su ju finansavimu alga didinimu ir technika), MEDICINOS DARBUOTOJAI, PENSININKAI IR VISI VISI KAS JAUČIA KAD IR TIE PATYS MOKESČIAI JAU DAROSI NEBE ADEKVATUS DIDŽIAJAI DALIAI ŽMONIŲ !!!!
KLAUSIU JŪSŲ VISU KIEK DAR LAUKSIME VISI ?
SENIAI REIKIA KELTI SAVO ŠIKNAS IR RANKAS BEI GALVAS IŠ TU IŠMANIU IRENGINIU IR DARYTI KAŽKA NES TAIP NIEKADA IR NEBUS GERAI!!
KODĖL VISI GALI?, O Lietuviai visada tyli ir nieko nedaro, nes mes viena karta nuėjome prie seimo ir jus ka galvojate VALDININKAI SUPRATO???
PRADEKITE KAŽKA DARYTI!! NES TIK VIENINGA TAUTA GALI PASIPRIEŠINTI IR PASAKYTI SAVO ŽODI !!!
ir jei kas sakys kodėl aš nieko nedarau tai pasakysiu, taip O ka gali vienas žmogus padaryti?!
""//kad kita savaite susirinkime visi prie seimo.""
Ačiū. Ir gražios dienos.
Asmeninė nuomonė.",High
"Arba y vagio kisene, tiesiogiai lansbergi anuka yvardinti.",Low
Y krūmus beproti,Low
Verst!,Medium
Kažkokie išsigime ir taip gynybai skiremi pinigai dar maža,Medium
Lai uosto kabancius,Low
Idiotai jūs !!!!!,Low
Ne nu ji vezti gydyt reik nupuso visai😡😡😡,Low
Apšik velniė galvų,Low
Dalbajobas ir tiek,Low
Ir tokios privirej Kat iki givianimo pabajgos nia iš srepsi ydijote 🤣🤣🤣🤣🤣🤣🤣,Medium
"sutikciau,jei tas saugumas butu nuo jusu isgamu valgziazmogiu,kurie ne savo noru bet saukte saukesi karo.",Critical
Debilas,Low
Kiek tą žąsiną dar linksniuosit....,Low
Nepagydomas,Low
Eikit nx su tomis nesamonemis,Low
"Nuo Rusijos agresijos gal ir apsisaugotume, bet kas mus apsaugos nuo Debilų, sėdinčių valdžioje ir naikinančių viską iš eilės?",High
Propagandonai dedules sestiorkos,Medium
Su tavim ožy tai labai saugu Lietuvoj tai faktas dar pliurpe šūdus,Low
Iš savo kišenes kabinkit debilai,Low
… o dalis pensijų fondo į šito pienburnio kišenę,Medium
A tam suskiui dar negana svetimų pinigų ????,Medium
Gandonas tu jobanas! seima tu matysi kaip savo ausis po ateinanciu rinkimu,Low
Da pasol jis n.........x,Low
Klounas nedapis*as,Low
Geriau gimęs nebutum,Low
Ciulpk isgama,Low
"Nuosirdus sveikinimai gabriukui gimtadienio proga.Linkim kad ji visur ir visada lydetu vien prakeiksmas uz jo nuodemes,pries Lietuva,ir jos Tauta.
Kad kartu su juo kentetu,ir senas ozys.🤝",High
Šungrybis prskeiktas !,Low
Pudeliuk su gimtadieniu. 🤮,Low
Idiotų kompanijos pirmininkas,Low
Ka? Šita asila?,Low
Pedofilu partijos pirmininkas 🤢🤮🤮🤮🤮🤮,Critical
Nuodas,Low
Lohas tu lansbergi.,Low
Eina velniop.....,Low
Padovanokit jam gimtadienio proga kelionę į Sibirą ten ji pripažins ministrų😝,Low
Su putinu ant trijų raidžiu dalbajobas,Low
Lietuvos nelaimė,Low
"Jei jis degtų tai net šunys an jo nemystu, kokie dar sveikinimai",Low
Su gimtadieniu subingalvi.,Low
Loh jibanas dar sveikint ji,Low
"Su, gyvate!",Low
Nuo kada oži sveikina,Low
Koki čia sveikinimai! Linkiu kad jis nusproktu šitas idijotas!,Low
"Su gimtadieniu vafli
",Low
"sveikinimai Pedo anukui! tikiuosi sie metai paskutinti tau ir tavo transfestitu sunaujai!! Dalbajobas kuris prisiko tiek per 4 metus,kad nezinia ar uzteks 20 atsistatit!",High
pasol nahui vagie,Low
Asilas,Low
Lopas😝😄,Low
"Glušu glušas,varyk į Kiniją keliais nareliais atsiprašinėdamas.",Low
Asilo brolis visada bus asilas.,Low
Debils yra debils palikuonis,Low
"Šliužas daugiau nieko ,kur pasirodo ten piktumai",Low
Ufonautas....,Low
Ta besmegeni ginti seimo visai kol dar iki galo nenupežo debiliuks,Low
Oziaus anuke dingau padarik. Is Lt . Tauta atsigaus. Ar deduko pinigu tau maza privuogtu is zmoniu,Medium
Lietuvos kenkėjas,Medium
Šūdmalys ir tiek. ‼️,Low
Tvartinio postringavimai,Low
Tu nusileisk ant dugno pezale,Low
"Pyzdasnuki lanzbergį, anūke tu kriošenos gaišenos komunisto...
tipo ožį tu čia už laisvę, kiršintojas esi..!!!",High
Nustok laizyt subine rytams invalids gabale....,High
"Gabrieliuk,gal jau eik ,,ant kėdutės''! Jau tiek prisikakinai,kad Europos sąjunga tau už nugaros kvatoja!..,baisi tą liga- didybės manija,oi baisi...",Medium
"Trumparegis idiotas, kas tau leido žaisti mūsų sąskaitą savo politinius žaidimus? Pas mus su Kiniją jokiu problemu nėra, taip pat kaip ir su Čilė, Pakistanu ar Grenlandiją...tiesiog jokiu",Critical
"Kazkada senai dar vis atrode kad normalus vyras o dabar pusdurnis arba visiskai durnas jis. Gal jam ir nieko jokiu problemu nesukele kinijos praradimas, bet zmones kurie siuntesi is kinijos tiem tikrai apkarto reikalai. Gerai kai zmogus pinigu turi kaip sieno ir gali neziuredamas kainu pirkt tai ko jam reikia, bet yra ir paprastu zmoniu kurie pigiau nori gaut ir turi kantrybes palaukt. Gydytis jam reikia",High
"skaudžiausia avinas seime, kuris nelabai supranta apie ką šneka....",Low
Debilas,Low
O će tai pusgalvys,Low
Klaunas lansberginis.,Low
Sučka,Low
"Suknistas melagis, vienos iš didžiausios pasaulyje rinkos nėra praradimas. Kažkas jam trinktelkit per makaule, gal prasiblaivys",Medium
"Idiotas......
",Low
Debiloidas,Low
"Tai taip taip urodas ozio snukiu uztai vaget is elektros tinklu is savivaldybiu is misku is visur,kad poto tuscia valstybe lai pasijema😂😂😂 kaip sakant bandot ispyzdinti dar kiek imanoma..",High
"būtu gerai, kad ta veiloka lanzbergi, kas nusautu",Critical
"ir ka tas sūdzius lanzbergiukas padarys?, per mazas tarakonas yra",Low
"Ciuosk žydo anūke, jau senis pardavė ir isvoge Lietuva, jau tavęs nereikia senis perdavė visus iš vogtus mūsų tautos pinigus, tau, atsiprašau ne tau bet tavo bobai. Vagių saika, stipsit kaip ir visi vagys, banditai ir išgamos, paklauskit savęs kodėl jūs visi tokie gudrus ir kas jums uždirba tuos turtus. Būtų mano valia aš jus isnaikinciau kaip kolorado vabalus nuo bulvių. Bet viena paguoda, kad jus ne amžini vistiek pastipsit.",Critical
"Asilų , vagių - gauja ...!",Medium
Esi. Klaunas. Pripažink. Tu tai supranti.ka sneki,Low
Glušas 🤬,Low
O kam to reikia apsieisime ir be tų gamtos nesusipratimų 😂😂😂,Low
Ligonius reikia gydyti,Low
"Šie ligoniai taip išreiškia savo norus ir vizijas . Jei jų nenukirsi , taip ir atsitiks .",Medium
Kaip gražu. Kuri. Notaka,Low
"Jau blogiau nuo to nebus edikams,nes jie edikai,o tai blogiausia",Low
"Turėtų jiems būt sukurtas pragaras , kaip žadėjo per covido afiorą , neskiepytiems",High
Mus įvarčius vienas kitam į tarpkojį🤣,Low
Varžysis kuris giliau į rudąją įbuksuos... 😄😄,Low
šikna skilęs šaratus stumdis ???,Low
"Gėjai, kaip ir visas LGBT, yra, viso labo, sugedęs evoliucijos produktas ir nieko daugiau.",Low
Koki žaidima žais? Kas greiciau i šikna pataikys?,Low
Nu Nx.. dalbajobai? Dalbajobai!,Low
Zais kas greiciau sudauzys galini tilta😂😂😂arba kieno galinis tiltas prades greiciau kaukti,Medium
Tomas Vytautas Raskevičius varyk galesi šuda pastumdyti 🤣🤣🤟🤟,High
Balvonai,Low
"per valanda apie tapati suda rasot jau antra kart, nebus raskevicius siknon ilindes? pagal ideja ir ta asila paleist pelenais galima kartu su jo tom knygom",Low
"Galėtų kartu su savo tuom knygom nx......Nepasigesim tokio ""seimuno"" """" Velnias",Medium
Klounai vis dar vsldzioje!🤣😂🫣,Low
Nenormalus tipai.,Low
da koks gerai kai musu saly gaidinas vyksta,Medium
Ir vel pedikai…🐓🐓🐓,Medium
"jeigu būčiau tėvas tai greičiausiai irgi nieko nesakyčiau tiesiog susitaikyčiau,nors gyvenime nekenčiu jų politikos lysti ir rodyti savo iškripimus,na sutinku iškrypes mano vaikas bet na sėdėk tyliai ką jau padarysi jei tau šyknaskylės patinka arba nučiulpti ,ne neberašysiu pačiam jau kūnas eina pagaugais",Critical
pitusaros,Low
Raskevičiaus be kelnių čia dar tik trūksta.... 🙂,High
"Ruosia zurnaliugos dirva iskrypeliu istatymui priimti,nieko neisdegs,tegu tyliai dubasinasi!!!",High
Lesbiu paradas,Low
Tai jau tamomę ir pyderų šalimi. Gerovės valstybė...,Low
Tai abi ten barškino ar veina ar tik veinai užkibo .,Low
Matosi iš veidų kad nepilno išsivystymo atstovai,Low
"Dvi tiutes ,kokios čia šaunuoles ,dvi iškrypeles ,ir dar tokias sveikinti ,durniu slėnis ,prisilaize su vėjo pagalbos kontrole",High
dvi durnės..,Low
"čia svingeriai, ar haremas, kur jos laksto",Low
Tai kurios čia sperma?,Low
Vistiek be vyro negalite vaikų turėti dvi nesveikos artiste,Low
Į Vileiką joms laikas....,Low
"Įdomu,kas apvaisino. Matomai, gal Raskevičius.Vibratoriai to padaryti negali.",High
"Jau senai reikejo, tegu jie ant kelniu nesioja uzrasa 'GEJUS' ,o ne is vaiku atimti spalvas, is vis juos reiketu izoliuoti nuo visuomenes, nes ju mastymas visai kitoks",Low
Cia kas valstybe valstybeje? Savo namukuose balkone isikelkit bus naudos zinosim kur p....i gyvena,Low
Bybi tegu nusipiesia ir po kaklu pasiksbina.,Low
Mes nezydrieji jei nori tegu gyvena reklamos reikia tik psichams,Medium
"Jeigu vėliava kabo, vadinasi toje įstaigoje šikniniai dirba",Medium
"Mums į seimą tokį ""įstatymą"".
Nuo žydrų narkomanų apsivalytų.",Critical
"Tai ko mutantai lenda visur,jei smegenis valdo antras galas,tai nebėra",Medium
Pabruki uodegą ir dūmini į visas keturias puses.arba paskui laivą.,Low
"Reiktu sukurt GALU/VAROMU ""Vyru"" sali,kazkur lb lb TOLI,ir tegu jie ten ""dauginasi"" iki kol viens kitam suplesys rudasias......................., nereikalingi jie tarp sveiku zmoniu.....",Critical
Kuo mažiau lietuvoje bus tokiu tuo geriau,Low
Vafliai,Low
Tu geriau emigruok su savo burna i savo prtnerio byrka.... daugiau pasieksi,High
"Taip,geriausia jums emigruoti. Nu nereikia mums nukrypėlių,kurie šūkauja ir reikalauja to paties,ką išgyvena normalios šeimos,gimdančios vaikus natūraliai. Birbinkitės nuleidę akis o ne šokinėkit.",Medium
"Ot įdomu , kaip jie santikiauja , o gal kastratai jie?",Low
"Teisingai, nėr čia ko balvonam gyvent Lietuvoje.",Low
Iškrypimas ir tiek,Low
Šlykštyne,Low
Išgamos reiškiasi.,Low
"Isangiu megeju daug vakaruose,gero kelio!🤣🤣🤣🤣",Medium
Ligoto žmogaus kliedesiai...,Low
Pedikshow,Low
"Pusdurniai, pastoviai žmonės visur užpuolami visokių degradų, bet čia šiknadraskys jau auką vaidiną. Visame pasaulyje niekas nemėgo ir nemėgs šiknadraskio kuris ne būna homoseksualu, o visomis išgalėmis nori būti pyd...u.",High
"Galite ir emigruoti tokiu iskrypeliu cia nereikia,,,,,,",Low
Sudie šikniniai ir kuo toliau nuo lietuvos🤮,Low
🐓🐓🐓🐓,Low
Visus tuos iškrypelius i amerikos koke nors sala ir ten tegus p.....si tarpusavi,High
Ragai pydarams,Medium
Šlykštukai,Low
Fui fui fui nemormalus....,Low
Ar ira dar normaliu ar visi per šikną. ? Ot atėjo laikai šikna pasidarė didžiausia vertybė. Per šikną visur . Bliat šlykštu žiūrėt i,High
Tegu ten visi varo iš Lietuvos ir būna šlovinami rudnosiai! 😄,Low
Vyt iš lietuvos šiknapisius😁,Critical
Pederastizacija Lietuvoje tolygu orku artilerijos apsaudymams Ukrainoj,High
Lgbt tegu eina v pizdu,Low
Sekmes iskrypeliams ten....,Low
Piderasinas,Low
Iskrypeliu saika kur ritasi pasaulis 😡😡😡,Medium
Pederastus von,High
"Seimas yra nulis seime yra 141? Ir 60% ligotų? Seimas ne Lietuva,Lietuvos 70% nepritaria ligotiem",Medium
"Kas nešokinės,kas nešokinės...😲",Low
Jau pats laikas pradėti vežti raupus į Lietuvą,High
Supratau iš kur tie beždžionių raupai 😁😅🤣,Medium
Ir taip to šūdo pylna.,Low
Ir pas mus reik iškripėlius sodint 5 metam i kalėjima ir baigsis tos nesąmonės nebus nei gėjų nei liesbijieciu o jei bus tai savo iškripimu nedemonstruos ir savo teisiu nereikalaus,Low
Kaip staiga atsirado ivairiu istoriju apie pyderus,Low
"Protinga Kameruno valdzia, gydo ligonius💪",Medium
Pas mus savu py....ų uztenka.,Low
Tai dar gerai kad ne su bezdzione uztiko!O tai dar raupu atveztu!,Medium
Visus iskrypelius priimkit,Low
ir kam jis čia reikalingas ??? savų py... per akis,Low
Čia tas iš milijono gaidžių ?!,Low
visa mesla lietuvele surinks,Low
pas lenk slektas labusnia buvo vaivadija kol galiausiai visai isnyko. pas europos metropolija visas procesas daug greitesnis po sekanciu euro rinkimu bus tik du keliai arba buti europos provincija be balso teises arba pendelis i subine ir su terba per pecius gristi i savo baznytkaimi. europos bordako dienos sukaiciuotos ir tik kieta federalizacija dar kazkiek gali pagebeti sitam bordakui.,Critical
"Gal jankynas ne taip ir kaltas, greiciau kalti parsidaveliai kitu saliu valdziagyviaiPusgalvi tu, jankynas ir buvo vienas iš fašizmo kurstytojų, ir pats yra fašistinis. Tarybų Sąjunga ir jos tautos išgelbėjo pasaulį nuo nacių, ujobke.nuolankiai sutinkantys, kad su jais butu valomi amerikiniu bandytu subines.Cia turiu omeny ir litikrijos valdzios pašliamekus.",Critical
"Gal jankynas ne taip ir kaltas, greiciau kalti parsidaveliai kitu saliu valdziagyviai nuolankiai sutinkantys, kad su jais butu valomi amerikiniu bandytu subines.Cia turiu omeny ir litikrijos valdzios pašliamekus.",Critical
Pyzda Ragelskiui uz kurstyma ir smeizima,High
Litukrijoj sitas strapsnis galioja tik zydu atveju,High
Litukrijoj sitas strapsnis galioja tik zydu atveju,High
"Anonime, idiote. Ir tie, kas rašė šitą straipsnį. Tu ir anie bent suprato, ką parašė?Jie patys ir tu, debile, būtent ir kurstome, niekinate rusus ir baltarusius, neatsiedami juos nuo taip vadfinamos agresijos... Ar RF ir Baltarusijjos piliečiams, tarkim, draudimas vykti pas save, jei jie turi LT leidimą gyventi, nėra tai, kasd baudžiama paga tą straipsnį? Dar ir kaip. Bet pochuj teisėšikai...",Critical
"Gal jankynas ne taip ir kaltas, greiciau kalti parsidaveliai kitu saliu valdziagyviai nuolankiai sutinkantys, kad su jais butu valomi amerikiniu bandytu subines.Cia turiu omeny ir litikrijos valdzios pašliamekus.",Medium
Nu ar jums gaila tu lietuvisku nuopisu. Geriau butu kad juos Rusija spirgintu letai ilgai ir be gailescio. Stipk piderasine Lietuva.,Critical
Piderasine Ispanija turi buti sunaikinta.,Critical
KAVO MY BAJIMSIA NASU VLASC.KTO SAMNOJ NAPISYCIE.,Critical
"Apsimeta durnelę, baisu žiūrėti.",Low
"Patyčios iš žmonių daro ,eina jinai melage kuo toliau",Low
"Sena merga ir kitaip jos nepavadinsim,ir dar gluša,su kuo susidėno,tokia ir tapo nupušus,per tiek metų jokio joker...nesusirado,gal proto būtų ikrėtęs.",Medium
Atgyvena,Low
"Eik tu šuniams šenaut, išgama",Low
"Tokia žiurke ,kad negaliu žiūrėti
",Low
"Sena merga kaip kalade,nieks nenori ir nebado",Low
Ono kalbantis vyrišku balsu - nuodas!,Low
Užsikišk kale,Low
lietuvos geda,Low
Sakiau ir sakysiu višta yra višta ir ereliu nebus.,Low
Apsivemt nuo šito šūriko galim🙈,Low
Šikne,Low
Lietuvos gėda,Low
Ką tu čia arklegalve pezi. Va kokia valdžia daro ką nori perka ką nori. O jūs tautos avinai tylekit ir bukit laimingi. O mes jūsų pinigus taskysim į kairę ir į dešine!,High
Sutre.....,Low
Nei moterys nei vyras,Low
O ko gi ausys rausta melagei?,Low
Lysk į būdą,Low
"Paprastas zmogus uz savo lesas pasirupina darbo priemonemis,ir i darba vaziuoja savo transportu.Kodel seimo narei isskirtiniai,issikele didziausias algas,negali apsirupinti priemonemis.Di aferiste kuri uzmerkia akis del visu vagysciu,pedofilijos skandalu,turi pust is posto.Svabo ,soroso pakalike,svetimos valios vykdytoja.",Critical
Nukabink ta veliava padla...,Low
Пизда старая🤣🤣🤣,Low
Slykstyne🤮🤮🤮🤮🤮🤮🤮🤮🤣🤣🤣,Low
Lerva,Low
"Ot nesveikumo isikunijimas,šurikas grynas",Low
Nei vyras nei moteris! Kas?,Low
Goblinas🤬,Low
"taigi sita ziurke ir seimo nare yra ,, ka ji cia kvaksi kai turi visas galimybes problemas isspresti, ,, issipisinetoja didzioji",Medium
Prie sienos,Critical
Baisi žmoga visais atžvilgiais....,Low
Žmonių naikintoja...,Medium
Oi šiukšles jus,Low
Urodė sūčka,Low
Grazūs zodziai sūdo sakė,Low
Šimontė yra žurkį,Low
Nusipirk valkata tu tą kompiuterį kai tokia alga gauni neverkus blet,Medium
Tu dusk mažute,Low
Vistgaidis .slykstu girdet ja,Low
Eik lauk trintukia vel pradedi trint žmonem smiagenis tabo nomone nekam nia i domi,Medium
Pidare,Low
Vagiu banda 😂😂😂😂😂,Medium
